# Golden vector: Zeta.Core.Cl3.gp — 200 random Cl(3,0) geometric products.
#
# GENERATED BY THE F# MODULE (src/Core/Cl3.fs), consumed by the TypeScript
# geometricProduct in ../conformal-embedding-and-curvature-budget.ts. Agreement is
# therefore evidence, not self-consistency.
#
#   dotnet build src/Core/Core.fsproj -c Release
#   dotnet fsi src/Core.TypeScript/research/testdata/dump-cl3-products.fsx
#
# Cl3.fs is NOT self-contained under dotnet fsi (AlgebraInterfaces -> IGroup -> ...),
# so the generator takes a project reference to the built DLL rather than #load.
#
# Inputs are a deterministic LCG seeded from COMMON_SEED=4 — no ambient entropy.
# Format: a|b|a*b, each an 8-tuple in Mv MASK order [S,E1,E2,E12,E3,E13,E23,E123].
-0.46437107725068927,-3.083179551176727,2.2042530099861324,0.3568630665540695,4.319894073996693,-2.55946256686002,-1.5368352853693068,3.5410732310265303|4.099211890716106,3.8905253494158387,4.139358613174409,4.160046558827162,-2.4244089028798044,-4.441559785045683,-4.37680589267984,3.0219910386949778|-45.52783389711141,23.397279607019403,-7.93035997128752,-21.71368935147496,23.39022514452403,-34.24863578860037,-32.09611337680175,58.118299480428945
1.453321606386453,-1.464631105773151,-3.521850809920579,0.6370723620057106,3.6414891690947115,2.5984257785603404,-0.3576414682902396,-2.5024347100406885|-2.1470256033353508,-4.685853659175336,1.2610109406523407,-2.8783231042325497,4.4436861597932875,1.3274275651201606,4.743356199469417,-1.4202083181589842|12.010191325826666,5.07566815466411,-9.279165671632205,-52.99244304734387,-13.681057375711998,7.051706028973644,-7.099122187707982,-8.214713755156577
-0.16422063810750842,2.3047652514651418,1.13807127578184,2.7218885719776154,4.36860708752647,0.5005381954833865,-0.5792640917934477,3.824879778549075|-4.078842874150723,-3.584910756908357,-2.212832432705909,-4.12137845531106,4.149722869042307,-1.4866467798128724,4.546365791466087,0.2293467614799738|21.73597922028376,-18.829499646744758,-31.856223050361102,4.014132597776969,-1.1005243731115755,41.61786465120146,4.806113300465665,-6.993913856372334
-2.3154414142481983,0.47278173733502626,4.706815897952765,-1.2007305398583412,4.1292690695263445,-1.0706851305440068,-4.150097931269556,4.601111179217696|0.2066836622543633,2.1901497105136514,4.384179811459035,-1.233700793236494,-3.1050353473983705,-2.1179441967979074,0.774257795419544,0.8055866975337267|4.128557827057546,7.42003096075067,-8.050325529687736,-6.968947281593506,37.86936680981258,-35.842539988691115,-26.132980019821133,3.6592826622384087
1.8977000494487584,-4.9960125563666224,-0.16196093754842877,-3.679155334830284,-0.7082692696712911,3.3527428610250354,-0.2939283871091902,3.8867758493870497|3.696461964864284,0.7904202723875642,0.5367583665065467,0.321300458163023,3.8084093132056296,-3.6775791877880692,1.581176498439163,1.0633637849241495|10.12530091871334,-14.55959409912715,-9.005459744053457,-5.714808039336518,22.89742137333605,-20.68967678669757,-13.016080137313036,-8.381173632699308
-2.3552711005322635,4.454748337157071,2.691256150137633,-0.12308429926633835,-0.6605179398320615,3.799356105737388,3.8650685152970254,-0.4001879785209894|4.836384367663413,0.3962903330102563,3.922973300796002,3.1563877500593662,1.3217890285886824,3.721380620263517,-3.091624437365681,1.5524521935731173|-1.1206974015384237,11.876420534680086,25.361772416270586,32.95509480941367,-13.26420705383889,1.33303635343377,51.3305155301611,-45.000131457014206
2.741654657293111,0.8482272597029805,2.306841916870326,3.071455955505371,1.2462474242784083,1.7332354141399264,2.6773261255584657,-4.609420197084546|1.9063275796361268,-3.9075538283213973,-0.21074594231322408,-0.16450459137558937,-4.455429648514837,-0.1610855245962739,-2.1407819748856127,4.492547968402505|23.09735350927864,-38.781310676402825,14.950605905122307,43.654509320979244,-22.134564041620663,-13.516864070489762,11.251146578150369,-21.900513547526863
2.025971219409257,-3.450616071932018,-0.01896950649097562,0.3971106931567192,3.8509855628944933,-3.0709915282204747,1.3428871682845056,2.5168611761182547|-2.604847315233201,-3.2571290573105216,0.32538945553824306,4.748729635030031,-3.3610457903705537,1.1830485006794333,-3.9258237020112574,-4.3517309706658125|10.984246498999417,24.099252364809153,12.562523237672472,-28.283412851022376,-41.51173809299209,25.69961690916142,-20.875633114352787,11.77432491720299
1.7316568573005497,1.1399749340489507,-1.3590846140868962,-0.889802947640419,2.2328895912505686,4.34684983920306,-4.71359625691548,1.7188599985092878|2.3757051420398057,1.8658446753397584,4.0395276877097785,-4.012631494551897,3.1948759057559073,-2.1151443058624864,3.10583216836676,-3.79584482870996|34.67259556183035,-7.728683461485032,-41.27771357022059,-8.436416973687418,18.654569658313427,-27.639777602081388,-39.626215695273146,-39.98031730479042
3.864174217451364,-1.706446255557239,2.219449474941939,1.1057040467858315,2.086386999581009,1.0074809519574046,-0.4678626754321158,-4.905797997489572|0.8798147854395211,-1.4910557260736823,-4.866823677439243,-2.781138028949499,-3.394994882401079,0.573455928824842,-0.20612320164218545,4.6396680641919374|13.221428222741864,-9.929041983686306,-6.579458777883273,28.11497759258962,-32.26786534844115,-23.695638797223825,-2.6276125502552414,8.73572546895107
0.5754703213460743,2.650470701046288,-4.969554983545095,4.792292565107346,4.09613965312019,2.867170120589435,-1.921041237656027,-2.0270652044564486|4.2732958239503205,-1.8759564822539687,2.8762023034505546,-0.43816814199090004,-4.560254102107137,-2.7489840472117066,-4.359889274928719,-1.3958087470382452|-36.709183499055285,8.51880258980837,16.437071288370213,39.83531292587689,45.965251472211534,-16.57423551396839,12.183711941714057,-62.97412320822307
-1.4610234345309436,-3.307126979343593,1.1435736413113773,-3.0327046290040016,-1.687956207897514,1.6927325306460261,3.2753482810221612,0.7925278600305319|-4.369053158443421,3.442313061095774,0.9818319487385452,3.4610718674957752,-0.1777633256278932,0.1677493890747428,-1.816556139383465,-3.207969842478633|15.12668983010461,14.413254386543581,-16.38329177177954,9.908170788638728,-16.512225219653896,-4.179081605065806,9.502560125604173,11.34983200938714
3.324608721304685,-2.3802952049300075,3.75936635537073,4.691717103123665,-1.4757699682377279,1.9365302426740527,-4.805604519788176,0.9728725533932447|4.111550797242671,-4.650779566727579,-3.018349048215896,0.5625475756824017,-4.196649750228971,2.6969167357310653,2.374895492102951,0.8174120727926493|22.34133158601588,-44.05401116164016,53.78204682833003,22.980540022448434,-27.392247156956202,33.76335629853088,-50.1280993957867,-1.3988128686253516
3.773766935337335,4.22170699108392,4.584213539492339,-2.83476572483778,-3.3619366376660764,-2.38852780777961,1.0087993345223367,4.791282108053565|-0.6671249750070274,-0.24046996142715216,1.6006043809466064,-4.411603566259146,-0.26330619817599654,-3.790174634195864,-0.047405718360096216,-2.9105138313025236|-2.875921249668165,3.0123563976783476,-27.957059904775157,-2.3109390164359906,-4.271594455673949,-4.371558923607262,-10.324330053545886,22.153297186580744
-3.6256642709486187,3.7564174504950643,3.2053649495355785,-2.398804724216461,-2.9508568509481847,-0.8339858101680875,4.365868193563074,-0.7425083685666323|-4.253328766208142,4.492303156293929,-1.868003320414573,-1.788072232156992,2.653608883265406,-3.0491704726591706,-1.1832217336632311,-1.3126765098422766|15.836971602096162,-28.410779347756783,8.651271087414791,-17.12648945630028,-4.891285073436163,51.292095284405725,-25.37560480594113,30.212256788491256
-0.3643160010688007,-1.1768291098996997,-3.534070283640176,-4.898379631340504,1.0183031321503222,0.35915892105549574,4.762519781943411,3.988658105954528|-2.9863244923762977,-3.8541020592674613,1.812491666059941,4.932622779160738,4.638171421829611,2.912330343388021,2.404794858302921,-2.7650830429047346|26.63313417793261,15.749531688243048,15.473610632343199,25.76817180901442,-57.12353738661759,-55.939983678045905,-29.41719454384325,-40.14454491030453
-1.5363349835388362,4.238098901696503,-2.1601236541755497,-3.4677983075380325,1.0466114268638194,-4.8645440535619855,-3.079718800727278,3.0843603890389204|0.3786083054728806,-3.027030578814447,-0.8028874662704766,0.9511345438659191,-0.797808279749006,0.7097758119925857,-0.9338991553522646,4.776181364431977|-23.367716141723225,31.82182359489915,-23.660751475822185,-16.906501117535786,3.078795007957988,15.81606169450285,11.572449811512687,0.5840244970858595
-1.4643835718743503,3.909129952080548,-3.1929672812111676,-1.6026967391371727,-4.749629476573318,4.500001701526344,0.16028892016038299,-2.9984007868915796|1.045174461323768,1.7554695019498467,-2.465758149046451,2.0442880131304264,-2.3397855437360704,2.4566608062013984,1.4372623874805868,-4.350046617910266|3.2658570660933908,18.140191976284985,-9.411368157067695,12.900284939279192,-4.870166132906308,-23.616963087634474,-15.30966930579481,22.1164221325771
0.6753602554090321,-2.2890106169506907,-1.7719139088876545,-1.2850390374660492,1.7361172870732844,3.3934394968673587,-2.2217112057842314,4.429797185584903|-3.448936815839261,4.679646962322295,4.140621561091393,-3.559919986873865,3.504518682602793,2.639527074061334,-4.18304497608915,-1.6350084450095892|-29.87607956609623,21.633736282204413,28.690349660023355,21.858178533398217,4.736984231132148,-49.840369174177546,7.22313005338245,-37.26191601099418
-4.771797105204314,-1.6398005886003375,1.7195830936543643,-1.108117438852787,2.9756229580380023,-2.433040481992066,-3.5803639539517462,4.165798788890243|1.1429480579681695,-3.788952543400228,-4.223647017497569,-3.3073207549750805,-3.219882172998041,4.992963238619268,1.540963666047901,-2.5250236969441175|8.434276358539723,4.090494882867505,57.230711192325145,-7.097597829589487,-0.13330053078725257,-1.663916600444086,-2.478053557121468,2.713697057592209
-3.5640648822300136,-1.7099208710715175,1.028929732274264,-4.401552304625511,0.18089315155521035,0.45729882549494505,-4.545704724732786,-3.011129619553685|0.1514870417304337,-0.030486485920846462,-1.9801031914539635,1.5574262849986553,-1.540240307804197,-0.6253952020779252,0.35718260100111365,-4.546490078791976|-7.72912469596567,-13.220028182537899,11.1567293986852,3.694598793242148,-17.355212999518,9.160541340332237,2.637187287573533,23.88582969490339
-3.1881679291836917,-3.4742554975673556,3.4093913878314197,2.6437078788876534,-2.3208321421407163,0.06174135487526655,-3.648159543517977,-2.4642998073250055|4.366322469431907,-0.3958154609426856,4.643073107581586,-2.1341664157807827,4.8189264559186995,-1.3598658749833703,-4.1993845091201365,4.5691165793687105|-6.233550205599892,9.105174304336506,-15.148393118983439,-13.693519205839905,-35.465397933462,-36.0794475819761,13.229153062263167,12.749215337375993
1.5156532754190266,-4.440891626290977,-1.0049071838147938,2.8503865003585815,-2.7120785578154027,-4.186882083304226,2.056454939302057,-3.8246016670018435|4.411081050056964,-4.3315031891688704,-3.013938677031547,2.4005854688584805,1.8108346709050238,-4.481719532050192,2.5683753727935255,-1.239757677540183|-11.591346696981901,-39.69672258180897,25.70595212773342,23.217186943773584,8.88085876234916,-55.43929619277354,27.765765099572693,-57.53480421280415
2.7286426280625165,-1.7761195404455066,0.1760181481949985,-0.07012117654085159,2.689862644765526,-4.545193803496659,-3.6380685516633093,0.884496783837676|-4.88162613241002,2.495183483697474,3.332400273066014,3.77053814008832,-0.5585647351108491,-0.5141800502315164,-4.1053153411485255,-4.489744929596782|-31.704763886530607,5.80045767761641,34.73851479035796,-25.086859811934566,5.3503459929887285,26.913425176940493,-9.496840503211182,7.063497218673432
4.028528400231153,4.570567351765931,0.9730108897201717,0.35725198686122894,3.807934580836445,1.9157307548448443,3.286672083195299,-0.878050597384572|-0.09520361898466945,-4.928725413046777,-1.7160118487663567,4.28571967408061,-3.8555864593945444,3.6425755685195327,0.9258751361630857,-2.2775553818792105|-52.81425390378914,-38.03215753265471,-9.415938132078473,19.0945295625444,21.313473854797266,2.592237455835348,7.026862103307172,-6.373457288983855
4.764523238409311,-1.2585274828597903,-3.5872260783798993,-4.753754995763302,1.1803147406317294,0.18536302726715803,-3.5513116815127432,-0.2958680782467127|-4.85407157568261,-4.086902975104749,2.136082525830716,1.832330022007227,3.156189175788313,1.5864171972498298,2.095387966837734,-4.404977364465594|-7.366702964917017,-33.25551263838335,-9.111825089788047,2.300937753834004,-12.259375216941502,-11.112999841984024,28.0126860593734,-15.220826765330502
4.432324164081365,-4.1543037025257945,1.9028694997541606,2.224268764257431,0.33541498938575387,4.188721324317157,-1.5593989961780608,4.679841948673129|4.551334206480533,1.9412745768204331,0.25230034021660686,1.7477410100400448,-1.1090837768279016,4.28826158400625,2.4987736879847944,-1.5038773324340582|1.3011506479148993,-33.1908064329563,12.860749960535513,-9.720716421703354,-29.021279485056287,51.99190076559907,14.89793711007587,-9.871533368394275
-2.9508874262683094,-1.165864090435207,2.6067192549817264,-2.6925939694046974,-3.8331184326671064,3.661370831541717,0.2046403638087213,1.2052989657968283|3.539562311489135,1.3557278970256448,2.439617912750691,-1.3045036606490612,3.3154831104911864,-3.032927648164332,3.268692211713642,-3.161199865862727|-7.641226126011707,-14.074874640280436,5.1767626395634885,-8.534577516275363,-23.697212258473616,20.00632593488123,1.4495451156303911,5.107873738985738
-4.471445761155337,-4.6255145547911525,2.818604193162173,-3.224588558077812,-2.6914049102924764,1.0244236094877124,0.407645998056978,3.41914433054626|3.613145698327571,0.5106745148077607,2.323370936792344,-1.459688413888216,2.324512640479952,-4.035140001215041,2.9499128251336515,3.956032330170274|-33.52762663203013,-42.551491308384826,7.336640688783582,-24.676475759505454,23.138067255362586,-15.644982625947975,-29.972098592383013,-13.345645462398387
-3.9442006940953434,4.726235871203244,-4.6613353048451245,-0.9532884880900383,0.5096705467440188,-1.7404614062979817,4.816066881176084,4.317441275343299|-3.2663982990197837,0.789628834463656,-3.27774551929906,0.22307420149445534,2.1153619908727705,-4.378318102099001,-3.125685809645802,-2.0242815744131804|49.35770029058146,7.406071566507158,26.36175672065005,-28.001877062357575,-1.8639676273655563,39.17021328756043,-22.312810059045727,-45.10458736959593
2.462482296396047,4.615675029344857,0.8479005168192089,-3.4465953707695007,-4.990542696323246,3.7839215947315097,-4.329038637224585,-2.3713250923901796|-0.30356797156855464,-4.5195978647097945,-4.976677012164146,-2.364156488329172,3.5631227144040167,-4.849357702769339,-3.464115655515343,3.6956794653087854|-39.641503355076594,3.692405763031987,-46.23092566934959,-16.705741548673643,-12.342284161209948,-32.42917187434044,-26.915376870908766,35.85759541742443
0.6017221068032086,-1.8891123635694385,-2.716829210985452,-2.3837389424443245,-3.087460899259895,-0.6746747018769383,1.0629971674643457,-0.31124779023230076|-1.4938772353343666,-3.3498974284157157,-1.443009723443538,1.4968507178127766,-3.4043792611919343,-4.487107680179179,-1.034279300365597,4.458658369258046|22.88867935707708,-8.305538470674994,-16.046365757566097,-20.087302858280033,24.21840136572435,6.9350504016450465,-16.50269417182048,-8.129806384996286
2.723122008610517,0.49675528425723314,-0.7878059823997319,-1.6802770644426346,3.563734053168446,-3.202950735576451,4.307451394852251,1.3160020392388105|2.7511443686671555,2.0201351726427674,-0.027970459777861834,1.2254988960921764,4.568416366819292,-3.7073700362816453,-3.892969957087189,4.027319932356477|26.451342603102006,-5.764486638759119,17.53315207130987,-7.781886448474387,35.215080490393596,-19.365193235056903,-7.745484952152334,15.03604642033567
1.8477696483023465,-3.8500435603782535,-2.791451916564256,4.386904276907444,-2.076905348803848,-4.827060070820153,3.3192105195485055,-0.31382487155497074|-0.021048325579613447,1.8412018427625299,2.6105733471922576,-3.1826370023190975,-1.3601957238279283,2.572100101970136,4.190128536429256,-1.5407491754740477|0.3962694948709905,24.388103421329504,19.87643269578753,21.505885582172205,-18.08597488162879,39.37893539741843,26.32472278204975,7.563090562800869
-3.8567629526369274,-4.586033555679023,-2.773329757619649,3.0545909702777863,2.9409077600575984,-2.637609397061169,-0.012229608837515116,0.2074440848082304|0.07098389090970159,-4.231698638759553,-0.11688635917380452,0.7191898487508297,2.145813519600779,1.8065944826230407,3.1074417172931135,-2.018040409311652|28.792641072404177,5.990488737878887,6.414448680395267,-11.072379854755027,-30.118101751112576,-0.6222572034673416,-16.63121959981886,6.970383994373899
3.2985806022770703,1.4740575151517987,-0.02314287470653653,4.948240779340267,-4.06730538001284,-2.914658528752625,-0.44776376569643617,-1.604596609249711|-0.3823353978805244,-0.2642706176266074,4.643501739483327,-0.2961018495261669,4.975207524839789,0.6994517287239432,-4.211495502386242,-1.1321233492344618|-22.192376707933224,2.6141872362598475,-0.982724272911444,-11.99670093071137,25.53052415996644,-3.8668831392405263,1.207850589277882,30.16270885314264
4.899341084528714,-2.7677012560889125,0.30026473803445697,-4.043016657233238,2.954210846219212,-4.252720405347645,-0.02367735141888261,1.74806940369308|-3.7065982329659164,2.832078435458243,-1.4360516634769738,-3.2544215209782124,-2.0555159053765237,2.077057338319719,-2.4250388354994357,-4.6906457003206015|-28.684239666190372,37.65078688188437,43.10032942842032,-25.647026185909926,-28.762942242325973,36.9080052159686,32.002568370962386,-30.850292841438232
0.80254364060238,2.182556097395718,-3.4560915385372937,-0.891379825770855,3.176446428988129,-0.685761091299355,1.3233536086045206,1.6208803560584784|3.2315877196379006,4.1752379247918725,1.5100235003046691,2.8944932855665684,-2.8271245933137834,1.7638436844572425,-4.404434619937092,1.2936667073518038|5.028605688586123,20.824621517353588,12.303311980643024,16.008731830410056,24.39433318324223,-18.114264043147944,14.894460001900697,21.03439686661668
3.511697791982442,-0.7145075825974345,-0.06433694856241345,-3.555375337600708,3.260625733528286,-4.812199776060879,-4.868737536016852,-4.898303644731641|3.3995991689153016,-0.2126058703288436,0.9156566741876304,-0.8479231037199497,-1.5426519862376153,-4.542709984816611,-1.8588198185898364,2.478009918704629|-14.785821588773139,18.70963974107942,26.745320967777907,13.076068275466511,17.124745104751355,-23.391631150785404,-38.765546170384056,1.247021674788332
2.5517974351532757,1.8435674207285047,3.9592626388184726,0.8951420709490776,1.7332075000740588,-0.9199087740853429,3.7875919393263757,-3.1142006162554026|3.9737971988506615,-0.5299697956070304,1.158136676531285,-1.6540644876658916,1.6476028435863554,-4.397077546454966,4.0397779806517065,-1.935498146340251|-7.288552210245536,39.57611980296879,30.826192930332198,-17.85402576228477,10.687381102661348,10.230944432875416,33.41562701161495,5.208659440947255
-1.1556791584007442,0.37603769917041063,3.7293007294647396,-1.846010461449623,3.3608848438598216,1.888786475174129,-0.09550586575642228,1.150893298909068|0.7145272684283555,3.678926178254187,2.933111700695008,-2.9951527900993824,-4.978924801107496,-1.7306860024109483,2.0314405648969114,2.675182307139039|-10.382508605299403,-3.8976637198261614,1.6490888052837203,-10.885348979463012,16.797472253353583,-28.275376602902252,-34.453741282276006,-1.8177580727000735
-0.9177693421952426,-0.5060432804748416,-4.633769795764238,-1.4463439211249352,3.5255852551199496,-3.4278925927355886,-4.306269476655871,3.432103833183646|2.3411192116327584,0.3991589555516839,2.6295893150381744,-2.766238059848547,-0.34206524258479476,0.023084520362317562,0.14335909625515342,-1.772987050935626|-12.960872656777246,-25.208251245436962,-4.159968588784246,-7.361179363007107,27.51343898499759,-38.64061107242684,-6.11593223689435,7.733779402109227
0.1049739052541554,4.775174823589623,-4.628636681009084,-1.0596974194049835,2.599470599088818,-4.976177667267621,2.3416719562374055,2.4969785939902067|4.906887237448245,2.020102315582335,1.704936462920159,-1.4111984707415104,3.8160855718888342,4.8039007699117064,-4.935165888164192,-4.193122675642371|56.626005103109335,5.969463399282239,27.49455338304901,-2.5365830979032964,64.07873160107903,-26.07326412831039,-13.988635294727413,15.983674073793303
3.273481980431825,-0.36066077183932066,0.001871704589575529,4.548761807382107,0.3199371160008013,4.948246437124908,-0.6157013424672186,2.2204870637506247|-3.825870070140809,2.2104269126430154,-3.940120537299663,-0.04774032160639763,-2.693833929952234,0.7994763692840934,1.5222755237482488,-2.4534191470593214|-11.544157393414935,-27.78324942113738,-32.13589282636285,-30.93373543980774,-12.425393697857167,-0.4012601008170602,10.514501531915872,-11.210198019432974
-1.154829345177859,2.2228940250352025,4.645786366891116,0.8775383979082108,0.16461542109027505,-3.264758219011128,4.082200226839632,3.460020599886775|-0.010869752150028944,2.7931002760306,-4.586495992261916,1.4076019637286663,-4.133450945373625,-2.6794281834736466,1.6542026191018522,-1.5021491702646017|-27.305220887016063,0.5303308625594001,-15.588585638050693,-44.89301347929276,30.79028204414246,12.035306631234699,-16.321929200657607,10.854929583096759
0.3489400749094784,2.2540801810100675,3.196997686754912,-4.436191134154797,3.726370504591614,0.3352172998711467,0.7955756387673318,-4.069607565179467|0.6571555254049599,0.620386810041964,2.6782551663927734,-3.8855341635644436,-4.461658296640962,1.6759944846853614,4.386244060005993,-1.492663575336337|-33.798645247235214,13.535368300191667,-30.186039459200817,12.240556925193744,-6.080467450769627,-12.259106312440993,-21.94750968608411,6.243176321634589
-1.0398252378217876,-2.072064462117851,-2.5697445799596608,0.2584215998649597,-4.911698268260807,2.134128804318607,0.3592332429252565,0.078837675973773|-2.6825425284914672,4.448847793973982,3.3349373820237815,2.1836606226861477,-2.9596144310198724,-3.9524013781920075,4.806137883570045,4.0916086826473475|5.35940296334697,-20.172301279316443,28.71486216500564,-30.448482749038714,0.17045554601255536,37.077862190627826,15.57871618516893,-41.590655220602486
-2.124256386887282,2.7812948124483228,-3.623831302393228,2.5008968636393547,-4.801257157232612,1.8284789798781276,-0.5424092360772192,-1.0399866942316294|-1.6817278298549354,1.81434138212353,4.807714472990483,4.552167523652315,0.14425657922402024,4.365285350941122,3.538731501903385,0.3121605236083269|-26.618570322365084,45.060558139599905,16.947973147524465,-4.416315504504984,10.329125369011777,14.214666729723227,12.343057464675478,-4.523097607627211
-3.31100010080263,2.567789596505463,-4.303793974686414,-2.4055732041597366,-3.7537380470894277,-0.6996826129034162,-0.00032469863072037697,0.11099818162620068|-4.40817991970107,-4.092977396212518,-4.160890367347747,-3.1418603844940662,-1.9507349631749094,-0.8179973298683763,-3.8790182978846133,2.6504067424684763|20.88997882296513,-2.5542511872716913,-1.6704114552484093,-20.171999628871372,41.459438962105004,6.618572315492768,12.203456641132973,-9.169408796733496
-4.235218733083457,2.1328483568504453,-2.9423047159798443,0.4808754101395607,-3.965338447596878,1.4922404615208507,-1.505876670125872,-2.573706964030862|-0.9706939640454948,2.446343363262713,-4.134994570631534,3.3159018494188786,1.7574556195177138,-1.451254547573626,2.3769546463154256,-1.1173159908503294|15.801130066137652,-3.360290254014096,35.111331374616384,-17.585998491849356,-14.488984545749583,10.353447206263038,-33.20604135413029,-1.787030948791342
0.6144097377546132,2.288696435280144,-2.491176270414144,-2.3842214047908783,2.3579785064794123,-0.717608486302197,-4.575819300953299,3.032820476219058|0.855919246096164,-3.4439475601539016,4.389643806498498,0.5909510515630245,4.448607380036265,2.889555445872247,-4.207174128387123,0.9552508685737848|-26.46776660247408,-2.025983913602211,-8.651422290642119,-0.707432082074325,39.9457264586835,21.26503878074327,-29.72773841458256,10.448124685345489
-3.7293082918040454,-3.310643951408565,-1.1463620071299374,-1.1566558852791786,-2.6245159446261823,4.359460729174316,4.622702633496374,-0.8350750152021646|0.0058332947082817554,-0.3608045121654868,0.36062608240172267,-0.32504407688975334,-4.144766253884882,1.8765212735161185,2.891880290117115,-3.140712259337306|-12.91027971251432,4.326030932992644,-27.52187809503074,7.36952673256301,1.9158525403044644,0.6606401824532786,6.392675271554576,6.692124165561007
1.6629179497249424,-1.2943537114188075,-2.97295592026785,-0.7285483926534653,1.9866838143207133,-3.9023148315027356,2.647153732832521,0.039372919127345085|-3.5027938592247665,-3.7468849634751678,1.543912950437516,-2.23924295976758,-3.3624174795113504,1.3047784334048629,2.609512188937515,2.505896920338273|-15.791294889075832,-5.686103035954836,-10.66289967647827,4.173708110993548,-38.79184475453561,39.05037433484625,8.29380536773752,-1.3621272757529592
3.991863608825952,-1.6998168779537082,1.469807371031493,1.1466525867581367,0.20631777355447412,-1.5681512327864766,-1.8453920283354819,3.7303525116294622|-4.192819881718606,0.9844504902139306,3.8988244789652526,0.11736685410141945,2.7586358808912337,-0.03249070141464472,-4.331774769816548,3.601102577522397|-33.72360810622852,33.840146628514404,-1.8927046270171926,-8.112699640836047,8.006992214867893,-23.034377933924425,-8.899852125440466,13.63005425489023
3.1047882069833577,-1.097620609216392,4.503552622627467,-4.270829558372498,3.539360298309475,-3.267717664130032,1.2767486996017396,4.044473869726062|3.246881936211139,-4.675861871801317,0.9530401113443077,1.96496969088912,-0.1408896199427545,-3.4690568828955293,3.952632450964302,-2.479149242863059|21.043098440182646,-31.083459997495876,-24.64413011684026,11.388395131409903,-2.3684324341134193,-16.75573589087613,-25.01706994027443,21.420101907429014
-4.129564359318465,4.283444811590016,0.7057639653794467,-4.832099564373493,-4.6439798711799085,4.679863560013473,2.994868641253561,2.395768975839019|-1.6635773214511573,4.542411104775965,3.177598665934056,0.3499217517673969,-2.36754305427894,-3.5906439879909158,-0.11554373661056161,-4.81399062089622|69.93830221122552,-54.546027164368674,-29.60617388532648,23.46995648695532,-52.83369941720166,13.291204245493088,-16.86993132960469,26.48172963648266
0.5540341814048588,-4.568614023737609,-3.7152150948531926,4.375409707427025,-4.733259619679302,1.1410170001909137,4.5148698962293565,-0.31930831260979176|-0.8201021957211196,4.5637994492426515,-2.638101663906127,-3.980248887091875,4.199860880617052,-1.3599290186539292,-4.202471545431763,2.9373682383447886|7.495940508819565,-36.303529069613525,2.6572463570013967,6.625299746443339,20.614896567481885,10.378264732859954,-47.58942005951421,76.86705246748805
1.1922964756377041,-2.573993648402393,-1.545181677211076,2.9029372707009315,3.49719854304567,-2.957285908050835,-3.357736060861498,-1.846882263198495|-3.159612852614373,-1.157869934104383,-4.011303309816867,-4.701842274516821,0.48524186247959733,2.7584578981623054,3.312790186610073,4.410639004781842|48.18444196685347,-2.3112420307796384,-15.789617629488902,8.821191841173466,-61.070964777993076,8.6691801535972,24.52006565224913,-16.179958404130353
1.968419544864446,-3.6860937206074595,4.810926474165171,-3.184605985879898,-4.736693517770618,2.2474731458351016,-0.8428283804096282,3.2993447314947844|-0.2850450831465423,-4.764473265968263,-3.3908893284387887,1.9600134156644344,4.59025394404307,-4.327066489495337,2.7132919966243207,2.411455223336816|-10.757285063910608,-24.05777145868474,-30.317353844774033,41.45798080892821,48.45200045200305,-56.048501228741664,-22.380502247356812,2.356476703514747
1.5870847855694592,-4.016517023555934,2.7040309901349247,0.566362701356411,-4.853789561893791,2.428359347395599,0.18932316219434142,-4.286907846108079|-2.0903503033332527,2.881410107947886,1.2176165985874832,-0.893638115376234,-3.8307144469581544,-1.4600385585799813,2.3191937967203557,0.7903723139315844|13.99595664952347,9.478470653728106,16.94747268750176,-8.606812044895882,4.695689649153595,26.543871589944665,-18.03335692429029,4.605099733300271
-2.350542030762881,-4.9600694654509425,-1.3840871234424412,-1.1269020289182663,1.4672910259105265,-4.056015242822468,-4.406941833440214,2.97050136141479|-2.385495554190129,-0.9285022830590606,-4.372949835378677,1.0394187085330486,0.8044594922102988,3.6390521889552474,-2.137235125992447,-3.682132428511977|34.89604584590155,1.9005072261243923,32.713950430197585,-7.068832109490336,-50.75731626682553,13.376643058295581,36.22982167031644,4.180176284377529
1.0281892423518002,3.680239920504391,-2.4657874857075512,-1.408473663032055,0.6631632358767092,0.7135083107277751,-1.6776743927039206,1.5051355864852667|-4.521463501732796,-3.873196034692228,-1.1563935619778931,-4.8624286614358425,4.380632939282805,1.2477631261572242,1.863383890595287,0.5593401659280062|-18.60133873009839,-30.551522197693433,-19.698078832780432,-8.895918417775007,10.432946286344603,9.084820171807923,-6.0164983163888515,1.632578579510362
0.24241312639787793,0.5681989761069417,2.3274296591989696,0.5912461876869202,1.6606764332391322,1.091635818593204,-2.194316165987402,-1.5170200634747744|2.98474756302312,-1.7273598676547408,2.441839862149209,3.7303791008889675,-2.5396025530062616,-3.483301498927176,3.0025388835929334,1.7501111421734095|12.04820787712249,5.446253849889665,18.46078420437594,19.201555129495006,21.21818663478422,13.43137591444615,-6.040922097893066,11.527702873389686
